movie,movie_id,genres
Topkapi,tt0058672,"Caper, Adventure, Comedy, Crime, Thriller"
A Thousand Clowns,tt0059798,"Comedy, Drama, Romance"
The Fortune Cookie,tt0060424,"Buddy Comedy, Satire, Comedy, Romance"
Cool Hand Luke,tt0061512,"Prison Drama, Tragedy, Crime, Drama"
The Subject Was Roses,tt0063654,Drama
They Shoot Horses Dont They,tt0065088,"Psychological Drama, Drama"
Ryans Daughter,tt0066319,"Period Drama, Drama, Romance"
The Last Picture Show,tt0067328,"Coming-of-Age, Teen Drama, Drama, Romance"
Cabaret,tt0068327,"Drama, Music, Musical, Romance"
The Paper Chase,tt0070509,"Comedy, Drama"
The Godfather Part II,tt0071562,"Epic, Gangster, Period Drama, Tragedy, Crime, Drama"
The Sunshine Boys,tt0073766,"Sketch Comedy, Comedy"
All the Presidents Men,tt32142111,Documentary
The Deer Hunter,tt0077416,"Tragedy, War Epic, Drama, War"
Being There,tt0078841,"Dark Comedy, Satire, Comedy, Drama"
Oridnary People,tt0081283,"Psychological Drama, Drama"
Arthur,tt10720352,"Extreme Sport, Adventure, Drama, Sport"
An Officer and a Gentleman,tt0084434,"Feel-Good Romance, Drama, Romance"
Terms of Endearment,tt0086425,"Comedy, Drama"
The Killing Fields,tt0087553,"Biography, Drama, History, War"
Cocoon,tt0088933,"Comedy, Drama, Sci-Fi"
Hannah and Her Sisters,tt0091167,"Comedy, Drama"
The Untouchables,tt0094226,"Cop Drama, Gangster, Police Procedural, Crime, Drama, Thriller"
A Fish Called Wanda,tt0095159,"Caper, Dark Comedy, Screwball Comedy, Slapstick, Comedy, Crime"
Glory,tt0097441,"War Epic, Biography, Drama, History, War"
Good Fellas,tt0099685,"Gangster, True Crime, Biography, Crime, Drama"
City Slickers,tt0101587,"Buddy Comedy, Contemporary Western, High-Concept Comedy, Comedy, Western"
Unforgiven,tt0105695,"Tragedy, Drama, Western"
The Fugitive,tt0106977,"Conspiracy Thriller, Action, Crime, Drama, Mystery, Thriller"
Ed Wood,tt0109707,"Dark Comedy, Docudrama, Period Drama, Quirky Comedy, Showbiz Drama, Biography, Comedy, Drama"
The Usual Suspects,tt0114814,"Gangster, Heist, Psychological Drama, Psychological Thriller, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
Jerry Maguire,tt0116695,"Feel-Good Romance, Football, Romantic Comedy, Workplace Drama, Comedy, Drama, Romance, Sport"
Good Will Hunting,tt0119217,"Coming-of-Age, Psychological Drama, Drama, Romance"
Affliction,tt0118564,"Drama, Mystery, Thriller"
The Cider House Rules,tt0124315,"Period Drama, Drama, Romance"
Traffic,tt0181865,"Cop Drama, Drug Crime, Crime, Drama, Thriller"
Adaptation,tt0268126,"Dark Comedy, High-Concept Comedy, Psychological Drama, Satire, Showbiz Drama, Comedy, Drama"
Mystic River,tt0327056,"Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Million Dollar Baby,tt0405159,"Boxing, Tragedy, Drama, Sport"
Syriana,tt0365737,"Political Thriller, Spy, Drama, Thriller"
Little Miss Sunshine,tt0449059,"Coming-of-Age, Quirky Comedy, Road Trip, Comedy, Drama"
No Country for Old Men,tt0477348,"Contemporary Western, Serial Killer, Crime, Drama, Thriller"
The Dark Knight,tt0468569,"Action Epic, Epic, Superhero, Action, Crime, Drama, Thriller"
Inglourious Basterds,tt0361748,"Adventure, Drama, War"
The Fighter,tt0964517,"Boxing, Action, Biography, Drama, Sport"
Beginning,tt0803096,"Dark Fantasy, Fantasy Epic, Action, Adventure, Fantasy"
Django Unchained,tt1853728,"Dark Comedy, Period Drama, Western Epic, Comedy, Drama, Western"
Dallas Buyers Club,tt0790636,"Docudrama, Medical Drama, Biography, Drama"
7th Heaven,tt0115083,"Coming-of-Age, Soap Opera, Teen Drama, Teen Romance, Comedy, Drama, Family, Romance"
Coquette,tt0019788,"Drama, Romance"
The Divorcee,tt0020827,"Drama, Romance"
Min and Bill,tt0021148,"Comedy, Drama"
The Sin of Madelon Claudet,tt0022386,"Crime, Drama, Romance"
Morning Glory,tt1126618,"Comedy, Drama, Romance"
It Happened One Night,tt0025316,"Road Trip, Comedy, Romance"
Dangerous,tt3876910,"Action, Thriller"
The Great Ziegfeld,tt0027698,"Classic Musical, Drama, Musical"
The Good Earth,tt0028944,"Drama, Romance"
Jezebel,tt0030287,"Drama, Romance"
Gone with the Wind,tt0031381,"Epic, Romantic Epic, Tragic Romance, War Epic, Drama, Romance, War"
Kitty Foyle,tt0032671,"Drama, Romance"
Suspicion,tt12026710,"Psychological Drama, Crime, Drama, Mystery, Thriller"
Mrs Miniver,tt0035093,"Drama, Romance, War"
The Song of Bernadette,tt0036377,"Biography, Drama, Mystery"
Gaslight,tt0036855,"Costume Drama, Dark Romance, Period Drama, Psychological Drama, Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Romance"
Mildred Pierce,tt1492030,"Crime, Drama, Mystery"
To Each His Own,tt0039040,"Drama, Romance"
The Farmers Daughter,tt3763222,Horror
Johnny Belinda,tt0040495,Drama
The Heiress,tt0041452,"Coming-of-Age, Costume Drama, Dark Romance, Period Drama, Psychological Drama, Tragic Romance, Drama, Romance"
Born Yesterday,tt0042276,"Farce, Satire, Comedy, Drama, Romance"
A Streetcar Named Desire,tt0044081,"Tragedy, Drama"
Come Back Little Sheba,tt0044509,"Drama, Romance"
Roman Holiday,tt0046250,"Romantic Comedy, Comedy, Drama, Romance"
The Country Girl,tt0046874,"Drama, Music"
The Rose Tattoo,tt0048563,"Comedy, Drama, Romance"
Anastasia,tt0118617,"Hand-Drawn Animation, Adventure, Animation, Drama, Family, Fantasy, Musical, Mystery, Romance"
The Three Faces of Eve,tt0051077,"Drama, Mystery"
I Want To Live,tt0051758,"Film Noir, True Crime, Biography, Crime, Drama"
Room at the Top,tt0053226,"Psychological Drama, Tragic Romance, Drama, Romance"
Butterfield 8,tt0053622,"Tragedy, Drama, Romance"
Two Women,tt0054749,"Drama, War"
The Miracle Worker,tt0056241,"Period Drama, Biography, Drama"
Hud,tt0057163,"Contemporary Western, Drama, Western"
Mary Poppins,tt0058331,"Classic Musical, Comedy, Family, Fantasy, Musical"
Darling,tt22375054,"Dark Romance, Romance, Thriller"
Whos Afraid of Virginia Woolf,tt0061184,"Psychological Drama, Drama"
Guess Whos Coming to Dinner,tt0061735,"Comedy, Drama"
