_golden,_unit_state,birthplace_gold,date_of_birth_gold,race_ethnicity_gold,sexual_orientation_gold,year_of_award_gold
False,finalized,Toowoomba_Queensland_Australia,1951-07-06,White,Straight,1997
False,finalized,New_York_City,1937-04-22,White,Straight,1997
False,finalized,Misericordia_Arezzo_Tuscany_Italy,1952-10-27,White,Straight,1999
False,finalized,South_Orange_Nj,1959-07-26,White,Matter of Dispute,2000
False,finalized,Wellington_New_Zealand,1964-04-07,White,Straight,2001
False,finalized,Mount_Vernon_Ny,1954-12-28,Black,Straight,2002
False,finalized,New_York_City,1973-04-14,White,Straight,2003
False,finalized,Burbank_Ca,1960-08-17,White,Straight,2003
False,finalized,Terrell_Tx,1967-12-13,Black,Straight,2005
False,finalized,Fairport_Ny,1967-07-23,White,Straight,2006
False,finalized,Longview_Tx,1961-07-15,Black,Straight,2007
False,finalized,London_England,1957-04-29,White,Straight,2008
False,finalized,Burbank_Ca,1960-08-17,White,Straight,2009
False,finalized,Los_Angeles_Ca,1949-12-04,White,Straight,2010
False,finalized,Grayshott_Hampshire_England,1960-09-10,White,Straight,2011
False,finalized,RueilMalmaison_HautsDeSeine_France,1972-06-19,White,Straight,2012
False,finalized,London_England,1957-04-29,White,Straight,2013
False,finalized,Uvalde_Tx,1969-11-04,White,Straight,2014
False,finalized,Swampscott_Ma,1894-07-25,White,Straight,1938
False,finalized,Vienna_Austria,1896-03-22,White,Straight,1938
False,finalized,Swampscott_Ma,1894-07-25,White,Straight,1939
False,finalized,Elizabeth_Nj,1892-07-11,White,Straight,1940
False,finalized,Swampscott_Ma,1894-07-25,White,Straight,1941
False,finalized,London_England,1880-07-27,White,Straight,1942
True,golden,Walters_Ok,1910-12-13,White,Straight,1943
False,finalized,Savannah_Ga,1877-06-17,White,Straight,1944
False,finalized,Dublin_Ireland,1888-03-10,White,Na,1945
False,finalized,New_York_City,1901-11-02,White,Straight,1946
False,finalized,North_Sydney_Nova_Scotia_Canada,1914-01-14,White,Straight,1947
False,finalized,Vale_of_Glamorgan_Wales,1875-09-26,White,Na,1948
False,finalized,Toronto_Ontario_Canada,1884-04-06,White,Straight,1949
False,finalized,Lima_Oh,1903-11-07,White,Straight,1950
False,finalized,St_Petersburg_Russia,1906-07-03,White,Straight,1951
False,finalized,Chicago_Il,1912-03-22,White,Straight,1952
False,finalized,Chihuahua_Mexico,1915-04-21,Hispanic,Straight,1953
False,finalized,Hoboken_Nj,1915-12-12,White,Straight,1954
False,finalized,New_York_City,1915-09-10,White,Straight,1955
False,finalized,Newton_Ma,1925-02-08,White,Straight,1956
False,finalized,Chihuahua_Mexico,1915-04-21,Hispanic,Straight,1957
False,finalized,New_York_City,1919-02-05,White,Straight,1958
False,finalized,Hunt_City_Il,1909-06-14,White,Straight,1959
False,finalized,Marian_Glas_Anglesey_Wales,1912-05-30,White,Na,1960
False,finalized,London_England,1921-04-16,White,Straight,1961
False,finalized,Norwood_Oh,1934-09-16,White,Gay,1962
False,finalized,Hartford_Ct,1901-03-25,White,Straight,1963
False,finalized,Macon_Ga,1901-04-05,White,Straight,1964
False,finalized,London_England,1921-04-16,White,Straight,1965
False,finalized,Bronx_Ny,1919-11-04,White,Straight,1966
False,finalized,New_York_City,1920-10-01,White,Straight,1967
False,finalized,New_York_City,1925-02-18,White,Straight,1968
True,golden,Malden_Ma,1907-06-16,White,Na,1969
False,finalized,St_Cloud_Mn,1913-11-04,White,Straight,1970
False,finalized,Felixstowe_Suffolk_England,1908-02-22,White,Straight,1971
False,finalized,Shidler_Ok,1918-06-13,White,Straight,1972
False,finalized,Cleveland_Oh,1932-04-11,White,Gay,1973
False,finalized,Bucharest_Romania,1902-09-22,White,Straight,1974
False,finalized,New_York_City,1943-08-17,White,Straight,1975
False,finalized,New_York_City,1896-01-20,White,Straight,1976
True,golden,Chicago_Il,1922-07-26,White,Straight,1977
False,finalized,Chicago_Il,1922-07-26,White,Straight,1978
False,finalized,Astoria_Ny,1943-03-31,White,Straight,1979
False,finalized,Macon_Ga,1901-04-05,White,Straight,1980
False,finalized,Malibu_Ca,1960-08-16,White,Straight,1981
False,finalized,London_England,1904-04-14,White,Gay,1982
False,finalized,Brooklyn_Ny,1936-05-27,Black,Straight,1983
False,finalized,New_York_City,1937-04-22,White,Straight,1984
False,finalized,Samrong_Young_Cambodia,1940-03-22,Asian,Straight,1985
False,finalized,Kenosha_Wi,1904-05-31,White,Straight,1986
False,finalized,Bermondsey_England,1933-03-14,White,Straight,1987
False,finalized,Edinburgh_Scotland,1930-08-25,White,Straight,1988
False,finalized,St_Louis_Mo,1947-10-24,White,Straight,1989
False,finalized,Mount_Vernon_Ny,1954-12-28,Black,Straight,1990
False,finalized,Newark_Nj,1943-02-09,White,Straight,1991
False,finalized,Lattimer_Mines_Pa,1919-02-18,White,Straight,1992
False,finalized,San_Bernardino_Ca,1930-01-30,White,Straight,1993
False,finalized,San_Saba_Tx,1946-09-15,White,Straight,1994
False,finalized,Brooklyn_Ny,1931-06-20,White,Straight,1995
False,finalized,South_Orange_Nj,1959-07-26,White,Matter of Dispute,1996
False,finalized,Bronx_Ny,1968-01-02,Black,Straight,1997
False,finalized,Chicago_Il,1951-07-21,White,Straight,1998
True,golden,Laurel_Ne,1928-08-31,White,Straight,1999
False,finalized,Bermondsey_England,1933-03-14,White,Straight,2000
False,finalized,Santurce_Puerto_Rico,1967-02-19,Hispanic,Straight,2001
False,finalized,Lincoln_Lincolnshire_England,1949-05-24,White,Straight,2002
False,finalized,Kansas_City_Mo,1951-07-09,White,Straight,2003
False,finalized,West_Covina_Ca,1958-10-16,White,Straight,2004
False,finalized,Memphis_Tn,1937-06-01,Black,Straight,2005
False,finalized,Lexington_Ky,1961-05-06,White,Straight,2006
False,finalized,Brooklyn_Ny,1934-03-26,White,Straight,2007
False,finalized,Las_Palmas_De_Gran_Canaria_Canary_Islands,1969-03-01,Hispanic,Straight,2008
False,finalized,Perth_Australia,1979-04-04,White,Straight,2009
False,finalized,Vienna_Austria,1956-10-04,White,Straight,2010
False,finalized,Haverfordwest_Pembrokeshire_Wales,1974-01-30,White,Straight,2011
False,finalized,Toronto_Ontario_Canada,1929-12-13,White,Straight,2012
False,finalized,Vienna_Austria,1956-10-04,White,Straight,2013
False,finalized,Bossier_City_La,1971-12-26,White,Straight,2014
False,finalized,Philadelphia_Pa,1906-10-06,White,Straight,1929
False,finalized,Toronto_Ontario_Canada,1892-04-08,White,Straight,1930
False,finalized,Montreal_Quebec_Canada,1902-08-10,White,Straight,1930
False,finalized,Cobourg_Ontario_Canada,1868-11-02,White,Straight,1931
False,finalized,Washington_Dc,1900-10-10,White,Straight,1932
False,finalized,Hartford_Ct,1907-05-12,White,Bisexual,1934
False,finalized,Paris_France,1903-09-13,White,Straight,1935
False,finalized,Lowell_Ma,1908-04-05,White,Straight,1936
False,finalized,Dusseldorf_Germany,1910-01-12,White,Straight,1937
False,finalized,Dusseldorf_Germany,1910-01-12,White,Straight,1938
False,finalized,Lowell_Ma,1908-04-05,White,Straight,1939
False,finalized,Darjeeling_India,1913-11-05,White,Straight,1940
True,golden,Independence_Mo,1911-07-16,White,Straight,1941
False,finalized,Tokyo_Japan,1917-10-22,White,Straight,1940
False,finalized,London_England,1904-09-29,White,Straight,1942
False,finalized,Tulsa_Ok,1919-03-02,White,Straight,1944
False,finalized,Stockholm_Sweden,1915-08-29,White,Straight,1945
False,finalized,San_Antonio_Tx,1905-03-23,White,Bisexual,1946
False,finalized,Tokyo_Japan,1916-07-01,White,Straight,1947
False,finalized,Salt_Lake_City_Ut,1913-01-06,White,Straight,1948
False,finalized,St_Joseph_Mo,1917-01-05,White,Straight,1949
False,finalized,Tokyo_Japan,1916-07-01,White,Straight,1950
False,finalized,New_York_City,1921-06-21,White,Straight,1951
False,finalized,Darjeeling_India,1913-11-05,White,Straight,1952
False,finalized,New_York_City,1898-08-30,White,Straight,1953
False,finalized,Brussels_Belgium,1929-05-04,White,Straight,1954
False,finalized,Philadelphia_Pa,1929-11-12,White,Straight,1955
False,finalized,Rome_Italy,1908-03-07,White,Straight,1956
False,finalized,Stockholm_Sweden,1915-08-29,White,Straight,1957
True,golden,Thomasville_Ga,1930-02-27,White,Straight,1958
False,finalized,Brooklyn_Ny,1918-06-30,White,Straight,1959
False,finalized,Wiesbaden_Germany,1921-03-25,White,Straight,1960
False,finalized,London_England,1932-02-27,White,Straight,1961
False,finalized,Pozzuoli_Italy,1934-09-20,White,Straight,1962
False,finalized,Bronx_Ny,1931-09-17,White,Straight,1963
False,finalized,Packard_Ky,1926-01-20,White,Straight,1964
False,finalized,WaltononThames_Surrey_England,1935-10-01,White,Straight,1965
False,finalized,Chabua_Assam_India,1941-04-14,White,Straight,1966
True,golden,London_England,1932-02-27,White,Straight,1967
False,finalized,Hartford_Ct,1907-05-12,White,Bisexual,1968
False,finalized,Brooklyn_Ny,1942-04-24,White,Straight,1969
False,finalized,Hartford_Ct,1907-05-12,White,Bisexual,1969
True,golden,Ilford_Essex_England,1934-12-28,White,Straight,1970
False,finalized,Birkenhead_Cheshire_England,1936-05-09,White,Straight,1971
False,finalized,New_York_City,1937-12-21,White,Straight,1972
False,finalized,Los_Angeles_Ca,1946-03-12,White,Na,1973
False,finalized,Birkenhead_Cheshire_England,1936-05-09,White,Straight,1974
False,finalized,Detroit_Mi,1932-12-07,White,Straight,1975
False,finalized,Birmingham_Al,1934-07-22,White,Straight,1976
True,golden,Bascom_Fl,1941-01-14,White,Straight,1977
False,finalized,Los_Angeles_Ca,1946-01-05,White,Straight,1978
False,finalized,New_York_City,1937-12-21,White,Straight,1979
False,finalized,Pasadena_Ca,1946-11-06,White,Straight,1980
False,finalized,Quitman_Tx,1949-12-25,White,Straight,1981
False,finalized,Hartford_Ct,1907-05-12,White,Bisexual,1982
False,finalized,Summit_Nj,1949-06-22,White,Straight,1983
False,finalized,Richmond_Va,1934-04-24,White,Straight,1984
False,finalized,Pasadena_Ca,1946-11-06,White,Straight,1985
False,finalized,Kirksville_Mo,1924-11-22,White,Straight,1986
False,finalized,Morton_Grove_Il,1965-08-24,White,Straight,1987
False,finalized,El_Centro_Ca,1946-05-20,White,Bisexual,1988
False,finalized,Los_Angeles_Ca,1962-11-19,White,Lesbian,1989
False,finalized,London_England,1909-06-07,White,Straight,1990
False,finalized,Memphis_Tn,1948-06-28,White,Straight,1991
False,finalized,Los_Angeles_Ca,1962-11-19,White,Lesbian,1992
False,finalized,London_England,1959-04-15,White,Straight,1993
False,finalized,Conyers_Ga,1958-03-20,White,Straight,1994
False,finalized,Cloquet_Mn,1949-04-20,White,Straight,1995
False,finalized,Queens_Ny,1946-10-04,White,Straight,1996
False,finalized,Chicago_Il,1957-06-23,White,Straight,1997
False,finalized,Culver_City_Ca,1963-06-15,White,Straight,1998
True,golden,Los_Angeles_Ca,1972-09-27,White,Straight,1999
False,finalized,Lincoln_Ne,1974-07-30,White,Straight,2000
False,finalized,Smyrna_Ga,1967-10-28,White,Straight,2001
False,finalized,Cleveland_Oh,1966-08-14,Multiracial,Straight,2002
False,finalized,Honolulu_Hi,1967-06-20,White,Straight,2003
False,finalized,Benoni_South_Africa,1975-08-07,White,Straight,2004
True,golden,Lincoln_Ne,1974-07-30,White,Straight,2005
False,finalized,New_Orleans_La,1976-03-22,White,Straight,2006
False,finalized,Chiswick_London_England,1945-07-26,White,Straight,2007
False,finalized,Paris_France,1975-09-30,White,Straight,2008
False,finalized,Reading_England,1975-10-05,White,Straight,2009
False,finalized,Arlington_Va,1964-07-26,White,Straight,2010
False,finalized,Jerusalem_Israel,1981-06-09,White,Straight,2011
False,finalized,Summit_Nj,1949-06-22,White,Straight,2012
False,finalized,Louisville_Ky,1990-08-15,White,Na,2013
False,finalized,Melbourne_Victoria_Australia,1969-05-14,White,Straight,2014
False,finalized,Litchfield_Mn,1899-02-15,White,Straight,1937
False,finalized,New_York_City,1892-11-02,White,Straight,1938
False,finalized,Los_Angeles_Ca,1891-12-07,White,Straight,1939
False,finalized,Wichita_Ks,1893-06-10,Black,Matter of Dispute,1940
False,finalized,Palmyra_Mo,1879-10-15,White,Straight,1941
True,golden,Quincy_Il,1906-05-03,White,Straight,1942
False,finalized,New_York_City,1918-10-27,White,Straight,1943
False,finalized,Athens_Greece,1900-12-17,White,Straight,1944
False,finalized,Philadelphia_Pa,1879-08-15,White,Straight,1945
True,golden,New_York_City,1903-06-25,White,Straight,1946
False,finalized,Michigan_City_In,1923-05-07,White,Straight,1947
False,finalized,New_York_City,1917-04-29,White,Straight,1948
False,finalized,New_York_City,1910-03-08,White,Straight,1949
False,finalized,Joliet_Il,1916-03-17,White,Straight,1950
False,finalized,Newtonville_Ma,1886-01-03,White,Straight,1951
False,finalized,Detroit_Mi,1922-11-12,White,Straight,1952
False,finalized,Los_Angeles_Ca,1923-11-28,White,Straight,1953
False,finalized,Denison_Ia,1921-01-27,White,Straight,1954
False,finalized,Newark_Nj,1924-07-04,White,Straight,1955
False,finalized,Oakland_Ca,1914-12-30,White,Straight,1956
False,finalized,Chicago_Il,1925-01-30,White,Straight,1957
False,finalized,Otaro_Hokkaido_Japan,1929-04-03,Asian,Straight,1958
False,finalized,Bramhall_Cheshire_England,1912-08-15,White,Straight,1959
False,finalized,St_Louis_Mo,1920-08-18,White,Straight,1960
False,finalized,Charleroi_Pa,1934-03-31,White,Straight,1961
False,finalized,Humacao_Puerto_Rico,1931-12-11,Hispanic,Straight,1962
False,finalized,Elmhurst_Ny,1946-12-14,White,Straight,1963
False,finalized,London_England,1892-05-11,White,Straight,1964
False,finalized,St_Petersburg_Russia,1918-10-09,White,Straight,1965
False,finalized,St_Louis_Mo,1920-08-18,White,Straight,1966
False,finalized,Hastings_Ne,1937-04-27,White,Bisexual,1967
False,finalized,Marblehead_Ma,1927-11-20,White,Straight,1968
False,finalized,Quincy_Ma,1896-10-30,White,Straight,1969
False,finalized,Silver_Spring_Md,1945-11-21,White,Straight,1970
False,finalized,Washington_Dc,1900-10-10,White,Straight,1971
False,finalized,Des_Moines_Ia,1926-04-30,White,Straight,1972
False,finalized,Columbus_Oh,1919-03-29,White,Straight,1973
False,finalized,Los_Angeles_Ca,1963-11-05,White,Straight,1974
