birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person
Washington_Dc,1950-03-20,White,Straight,1986,Best_Actor,Kiss_of_the_Spider_Woman,William_Hurt
Shaker_Heights_Oh,1925-01-26,White,Straight,1987,Best_Actor,The_Color_of_Money,Paul_Newman
New_Brunswick_Nj,1944-09-25,White,Straight,1988,Best_Actor,Wall_Street,Michael_Douglas
Los_Angeles_Ca,1937-08-08,White,Straight,1989,Best_Actor,Rainman,Dustin_Hoffman
London_England,1957-04-29,White,Straight,1990,Best_Actor,My_Left_Foot,Daniel_DayLewis
Cowes_Isle_of_Wight_England,1948-09-19,White,Straight,1991,Best_Actor,Reversal_of_Fortune,Jeremy_Irons
Port_Talbot_Wales,1937-12-31,White,Straight,1992,Best_Actor,Silence_of_the_Lambs,Anthony_Hopkins
East_Harlem_New_York_City,1940-04-25,White,Straight,1993,Best_Actor,Scent_of_a_Woman,Al_Pacino
Concord_Ca,1956-07-09,White,Straight,1994,Best_Actor,Philadelphia,Tom_Hanks
Concord_Ca,1956-07-09,White,Straight,1995,Best_Actor,Forrest_Gump,Tom_Hanks
Long_Beach_Ca,1964-01-07,White,Straight,1996,Best_Actor,Leaving_Las_Vegas,Nicolas_Cage
Toowoomba_Queensland_Australia,1951-07-06,White,Straight,1997,Best_Actor,Shine,Geoffrey_Rush
New_York_City,1937-04-22,White,Straight,1997,Best_Actor,As_Good_as_It_Gets,Jack_Nicholson
Misericordia_Arezzo_Tuscany_Italy,1952-10-27,White,Straight,1999,Best_Actor,Life_is_Beautiful,Roberto_Benigni
South_Orange_Nj,1959-07-26,White,Matter of Dispute,2000,Best_Actor,American_Beauty,Kevin_Spacey
Wellington_New_Zealand,1964-04-07,White,Straight,2001,Best_Actor,Gladiator,Russell_Crowe
Mount_Vernon_Ny,1954-12-28,Black,Straight,2002,Best_Actor,Training_Day,Denzel_Washington
New_York_City,1973-04-14,White,Straight,2003,Best_Actor,The_Pianist,Adrien_Brody
Burbank_Ca,1960-08-17,White,Straight,2003,Best_Actor,Mystic_River,Sean_Penn
Terrell_Tx,1967-12-13,Black,Straight,2005,Best_Actor,Ray,Jamie_Foxx
Fairport_Ny,1967-07-23,White,Straight,2006,Best_Actor,Capote,Philip_Seymour_Hoffman
Longview_Tx,1961-07-15,Black,Straight,2007,Best_Actor,The_Last_King_of_Scotland,Forest_Whitaker
London_England,1957-04-29,White,Straight,2008,Best_Actor,There_Will_Be_Blood,Daniel_DayLewis
Burbank_Ca,1960-08-17,White,Straight,2009,Best_Actor,Milk,Sean_Penn
Los_Angeles_Ca,1949-12-04,White,Straight,2010,Best_Actor,Crazy_Heart,Jeff_Bridges
Grayshott_Hampshire_England,1960-09-10,White,Straight,2011,Best_Actor,The_Kings_Speech,Colin_Firth
RueilMalmaison_HautsDeSeine_France,1972-06-19,White,Straight,2012,Best_Actor,The_Artist,Jean_Dujardin
London_England,1957-04-29,White,Straight,2013,Best_Actor,Lincoln,Daniel_DayLewis
Uvalde_Tx,1969-11-04,White,Straight,2014,Best_Actor,Dallas_Buyers_Club,Matthew_McConaughey
Swampscott_Ma,1894-07-25,White,Straight,1938,Best_Supporting_Actor,Come_and_Get_It,Walter_Brennan
Vienna_Austria,1896-03-22,White,Straight,1938,Best_Supporting_Actor,The_Life_of_Emile_Zola,Joseph_Schildkraut
Swampscott_Ma,1894-07-25,White,Straight,1939,Best_Supporting_Actor,Kentucky,Walter_Brennan
Elizabeth_Nj,1892-07-11,White,Straight,1940,Best_Supporting_Actor,Stagecoach,Thomas_Mitchell
Swampscott_Ma,1894-07-25,White,Straight,1941,Best_Supporting_Actor,The_Westerner,Walter_Brennan
London_England,1880-07-27,White,Straight,1942,Best_Supporting_Actor,How_Green_Was_My_Valley,Donald_Crisp
Walters_Ok,1910-12-13,White,Straight,1943,Best_Supporting_Actor,Johnny_Eager,Van_Heflin
Savannah_Ga,1877-06-17,White,Straight,1944,Best_Supporting_Actor,The_More_the_Merrier,Charles_Coburn
Dublin_Ireland,1888-03-10,White,Straight,1945,Best_Supporting_Actor,Going_My_Way,Barry_Fitzgerald
New_York_City,1901-11-02,White,Straight,1946,Best_Supporting_Actor,A_Tree_Grows_in_Brooklyn,James_Dunn
North_Sydney_Nova_Scotia_Canada,1914-01-14,White,Straight,1947,Best_Supporting_Actor,The_Best_Years_of_Our_Lives,Harold_Russell
Vale_of_Glamorgan_Wales,1875-09-26,White,Straight,1948,Best_Supporting_Actor,Miracle_on_34th_Street,Edmund_Gwenn
