_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Nationality,gender
670454382,False,finalized,3,2/10/15 3:50,Oakland_Ca,1.0,1904-12-18 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1957,1.0,Best_Director,http://www.nndb.com/people/382/000044250/,Oakland_Ca,1904-12-18 00:00:00,Giant,George_Stevens,White,Na,Straight,1957,United States,Male
670454383,False,finalized,3,2/10/15 2:07,Croydon_Surrey_England,0.6667,1908-03-25 00:00:00,1.0,White,1.0,Na,1.0,Straight,0.6667,1958,1.0,Best_Director,http://www.nndb.com/people/462/000032366/,Croydon_Surrey_England,1908-03-25 00:00:00,The_Bridge_on_the_River_Kwai,David_Lean,White,Na,Straight,1958,England,Male
670454384,False,finalized,3,2/10/15 1:52,Chicago_Il,1.0,1903-02-28 00:00:00,1.0,White,1.0,Na,1.0,Bisexual,1.0,1959,1.0,Best_Director,http://www.nndb.com/people/825/000032729/,Chicago_Il,1903-02-28 00:00:00,Gigi,Vincente_Minnelli,White,Na,Bisexual,1959,United States,Male
670454385,False,finalized,3,2/10/15 1:55,Mulhouse_HautRhin_Alsace_France,1.0,1902-07-01 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1960,1.0,Best_Director,http://www.nndb.com/people/463/000032367/,Mulhouse_HautRhin_Alsace_France,1902-07-01 00:00:00,BenHur,William_Wyler,White,Na,Straight,1960,United States,Male
670454386,True,golden,87,,Sucha_Galicia_Austria,1.0,22-Jun-1906,1.0,White,1.0,Jewish,0.963,Straight,1.0,1961,1.0,Best_Director,http://www.nndb.com/people/982/000024910/,Sucha_Galicia_Austria,22-Jun-1906,The_Apartment,Billy_Wilder,White,Jewish,Straight,1961,United States,Male
670454387,False,finalized,3,2/10/15 1:55,Winchester_In,1.0,1914-09-10 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1961,0.6667,Best_Director,http://www.nndb.com/people/460/000032364/,Winchester_In,1914-09-10 00:00:00,West_Side_Story,Robert_Wise,White,Na,Straight,1961,United States,Male
670454388,False,finalized,3,2/10/15 2:05,Croydon_Surrey_England,1.0,1908-03-25 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1963,1.0,Best_Director,http://www.nndb.com/people/462/000032366/,Croydon_Surrey_England,1908-03-25 00:00:00,Lawrence_of_Arabia,David_Lean,White,Na,Straight,1963,England,Male
670454389,False,finalized,3,2/10/15 1:57,Shipley_Yorkshire_England,1.0,1928-06-05 00:00:00,1.0,White,1.0,Na,1.0,Bisexual,1.0,1964,1.0,Best_Director,http://www.nndb.com/people/249/000043120/,Shipley_Yorkshire_England,1928-06-05 00:00:00,Tom_Jones,Tony_Richardson,White,Na,Bisexual,1964,England,Male
670454390,False,finalized,3,2/10/15 1:52,New_York_City,1.0,1899-07-07 00:00:00,1.0,White,1.0,Na,0.6571,Gay,0.6571,1965,1.0,Best_Director,http://www.nndb.com/people/373/000041250/,New_York_City,1899-07-07 00:00:00,My_Fair_Lady,George_Cukor,White,Na,Gay,1965,United States,Male
670454391,False,finalized,3,2/10/15 1:51,Winchester_In,1.0,1914-09-10 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1966,1.0,Best_Director,http://www.nndb.com/people/460/000032364/,Winchester_In,1914-09-10 00:00:00,The_Sound_of_Music,Robert_Wise,White,Na,Straight,1966,United States,Male
670454392,False,finalized,3,2/10/15 2:06,Vienna_Austria,1.0,1907-04-29 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1967,1.0,Best_Director,http://www.nndb.com/people/538/000032442/,Vienna_Austria,1907-04-29 00:00:00,A_Man_for_All_Seasons,Fred_Zinnemann,White,Jewish,Straight,1967,United States,Male
