birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person,Coordinates
Cadiz_Oh,1901-02-01,White,Straight,1935,Best_Actor,It_Happened_One_Night,Clark_Gable,"[40.273703, -81.865104]"
Tunbridge_Wells_Kent_England,1883-12-11,White,Straight,1936,Best_Actor,The_Informer,Victor_McLaglen,"[51.132377, 0.263695]"
Lviv_Ukraine,1895-09-22,White,Straight,1937,Best_Actor,The_Story_of_Louis_Pasteur,Paul_Muni,"[49.839684, 24.029717]"
Milwaukee_Wi,1900-04-05,White,Straight,1938,Best_Actor,Captains_Courageous,Spencer_Tracy,"[43.038902, -87.906471]"
Milwaukee_Wi,1900-04-05,White,Straight,1939,Best_Actor,Boys_Town,Spencer_Tracy,"[43.038902, -87.906471]"
Withington_Manchester_England,1905-03-18,White,Straight,1940,Best_Actor,Goodbye_Mr_Chips,Robert_Donat,"[53.441143, -2.257355]"
Indiana_Pa,1908-05-20,White,Straight,1941,Best_Actor,The_Philadelphia_Story,Jimmy_Stewart,"[40.621212, -79.15295]"
Helena_Mt,1901-05-07,White,Straight,1942,Best_Actor,Sergeant_York,Gary_Cooper,"[46.58976, -112.03912]"
Manhattan_Ny,1899-07-17,White,Straight,1943,Best_Actor,Yankee_Doodle_Dandy,James_Cagney,"[40.78343, -73.96625]"
Budapest_Hungary,1887-05-26,White,Straight,1944,Best_Actor,Watch_on_the_Rhine,Paul_Lukas,"[47.497913, 19.040236]"
Tacoma_Wa,1903-05-03,White,Straight,1945,Best_Actor,Going_My_Way,Bing_Crosby,"[47.252877, -122.44429]"
Neath_Wales,1907-01-03,White,Straight,1946,Best_Actor,The_Lost_Weekend,Ray_Milland,"[51.661385, -3.804017]"
Racine_Wi,1897-08-31,White,Straight,1947,Best_Actor,The_Best_Years_of_Our_Lives,Fredric_March,"[42.726131, -87.782852]"
Richmond_Surrey_England,1891-02-09,White,Straight,1948,Best_Actor,A_Double_Life,Ronald_Colman,"[51.461311, -0.303742]"
Dorking_Surrey_England,1907-05-22,White,Bisexual,1949,Best_Actor,Hamlet,Laurence_Olivier,"[51.231049, -0.324404]"
Philadelphia_Pa,1911-12-09,White,Straight,1950,Best_Actor,All_The_Kings_Men,Broderick_Crawford,"[39.952583, -75.165222]"
Santurce_Puerto_Rico,1909-01-08,Hispanic,Straight,1951,Best_Actor,Cyrano_de_Bergerac,Jose_Ferrer,"[18.439216, -66.061967]"
New_York_City,1899-12-25,White,Straight,1952,Best_Actor,The_Africa_Queen,Humphrey_Bogart,"[40.712776, -74.005974]"
Helena_Mt,1901-05-07,White,Straight,1953,Best_Actor,High_Noon,Gary_Cooper,"[46.58976, -112.03912]"
Ofallon_Il,1918-04-17,White,Straight,1954,Best_Actor,Stalag_17,William_Holden,"[38.592323, -89.910989]"
Omaha_Ne,1924-04-03,White,Bisexual,1955,Best_Actor,On_the_Waterfront,Marlon_Brando,"[41.256535, -95.934502]"
Hamden_Ct,1917-01-24,White,Straight,1956,Best_Actor,Marty,Ernest_Borgnine,"[41.383878, -72.902606]"
Vladivostok_Russia,1920-07-11,White,Straight,1957,Best_Actor,The_King_and_I,Yul_Brynner,"[43.115536, 131.885485]"
London_England,1914-04-02,White,Bisexual,1958,Best_Actor,The_Bridge_on_the_River_Kwai,Alec_Guinness,"[51.507351, -0.127758]"
London_England,1909-03-01,White,Straight,1959,Best_Actor,Separate_Tables,David_Niven,"[51.507351, -0.127758]"
Evanston_Il,1923-10-04,White,Straight,1960,Best_Actor,Benhur,Charlton_Heston,"[42.044738, -87.693046]"
New_York_City,1913-11-02,White,Straight,1961,Best_Actor,Elmer_Gantry,Burt_Lancaster,"[40.712776, -74.005974]"
Vienna_Austria,1930-12-08,White,Straight,1962,Best_Actor,Judgement_at_Nuremberg,Maximilian_Schell,"[48.208354, 16.372504]"
La_Jolla_Ca,1916-04-05,White,Straight,1963,Best_Actor,To_Kill_a_Mockingbird,Gregory_Peck,"[32.832811, -117.271272]"
Miami_Fl,1927-02-20,Black,Straight,1964,Best_Actor,Lilies_of_the_Field,Sidney_Poitier,"[25.76168, -80.19179]"
Huyton_Lancashire_England,1908-03-05,White,Straight,1965,Best_Actor,My_Fair_Lady,Rex_Harrison,"[53.408371, -2.839239]"
New_York_City,1924-02-19,White,Straight,1966,Best_Actor,Cat_Ballou,Lee_Marvin,"[40.712776, -74.005974]"
Hurstpierpoint_West_Sussex_England,1922-01-21,White,Straight,1967,Best_Actor,A_Man_For_All_Seasons,Paul_Scofield,"[50.93824, -0.235722]"
Westhampton_Ny,1925-04-14,White,Straight,1968,Best_Actor,In_the_Heat_of_the_Night,Rod_Steiger,"[40.830132, -72.689713]"
La_Jolla_Ca,1923-09-09,White,Straight,1969,Best_Actor,Charly,Cliff_Robertson,"[32.832811, -117.271272]"
Winterset_Ia,1907-05-26,White,Straight,1970,Best_Actor,True_Grit,John_Wayne,"[41.330863, -94.013631]"
Wise_Va,1927-10-18,White,Straight,1971,Best_Actor,Patton,George_C_Scott,"[36.975942, -82.575234]"
San_Bernardino_Ca,1930-01-30,White,Straight,1972,Best_Actor,The_French_Connection,Gene_Hackman,"[34.10834, -117.289765]"
Omaha_Ne,1924-04-03,White,Bisexual,1973,Best_Actor,The_Godfather,Marlon_Brando,"[41.256535, -95.934502]"
Newton_Ma,1925-02-08,White,Straight,1974,Best_Actor,Save_the_Tiger,Jack_Lemmon,"[42.33698, -71.209221]"
Mount_Vernon_Ny,1918-11-04,White,Straight,1975,Best_Actor,Harry_and_Tonto,Art_Carney,"[40.9126, -73.8371]"
New_York_City,1937-04-22,White,Straight,1976,Best_Actor,One_Flew_Over_the_Cuckoos_Nest,Jack_Nicholson,"[40.712776, -74.005974]"
South_Kensington_London_England,1916-09-28,White,Straight,1977,Best_Actor,Network,Peter_Finch,"[51.494067, -0.174604]"
Brooklyn_Ny,1947-10-29,White,Straight,1978,Best_Actor,The_Goodbye_Girl,Richard_Dreyfuss,"[40.650002, -73.949997]"
Yonkers_Ny,1938-12-29,White,Straight,1979,Best_Actor,Coming_Home,Jon_Voight,"[40.93121, -73.89875]"
